subjects,block_number,trial_number,stim_mean,stim_sd,estimation,abs_estimation_error,rt,R
1,1,1,60,12,73.1478237117661,13.147823711766092,5.02,1.6414333257068974
1,1,2,40,12,60.95763438854296,20.95763438854296,4.219,1.3678861169661365
1,1,3,100,20,102.05410946067884,2.0541094606788306,4.02,2.2900888610736945
1,1,4,100,30,92.16856139316984,7.831438606830147,5.387,2.068257681176587
1,1,5,40,4,49.52632356948716,9.52632356948716,4.44,1.1113681020372277
1,1,6,40,12,54.06131517899543,14.061315178995429,2.84,1.2131330757838172
1,1,7,40,4,50.55505827813715,10.555058278137151,3.24,1.1344528549171395
1,1,8,100,10,90.7559206733282,9.24407932667178,2.315,2.0365580975507567
1,1,9,60,18,67.59939723928615,7.599397239286149,2.541,1.5169269268145678
1,1,10,40,8,56.972016496096565,16.972016496096572,3.787,1.278449060602382
1,1,11,40,4,58.83479856477494,18.834798564774943,2.02,1.3202497924752303
1,1,12,40,12,60.94529964214972,20.94529964214972,4.07,1.36760932590433
1,1,13,60,18,84.07303842316391,24.073038423163908,2.721,1.8865945705370295
1,1,14,80,16,96.14388871390685,16.143888713906847,1.936,2.1574638176511742
1,1,15,100,30,106.6953657713567,6.695365771356705,1.863,2.394238409138358
1,1,16,80,16,86.03636854019594,6.036368540195936,2.955,1.9306515953387398
1,1,17,100,20,88.59484705102643,11.405152948973551,1.925,1.988063718867257
1,1,18,40,4,55.056810808861215,15.056810808861211,1.737,1.2354719454800107
1,1,19,100,10,96.08955881101252,3.910441188987491,1.77,2.1562446574811522
1,1,20,60,6,81.02292932232874,21.022929322328732,1.944,1.8181502823668072
1,1,21,100,20,103.64086070626556,3.640860706265556,2.053,2.3256954757609067
1,1,22,80,8,76.02026534576704,3.979734654232956,2.053,1.7058907652443462
1,1,23,80,16,87.98729363569694,7.987293635696942,1.837,1.974430252108239
1,1,24,60,6,87.19623760069922,27.19623760069922,1.078,1.9566789961930482
1,1,25,100,30,94.69334088283163,5.306659117168365,1.369,2.1249136004384135
1,1,26,80,24,72.75516981615507,7.24483018384491,4.809,1.6326221928936473
1,1,27,80,8,76.26454456941222,3.735455430587777,1.506,1.7113723782045485
1,1,28,80,16,79.88331050102796,0.1166894989720219,3.819,1.7925772958175845
1,1,29,100,30,99.04520958449608,0.9547904155039076,2.819,2.222569305742245
1,1,30,100,10,97.42161233230723,2.578387667692766,1.753,2.1861358686003514
1,1,31,60,18,65.37030932603017,5.370309326030167,2.637,1.4669063110110623
1,1,32,80,8,94.76077522542433,14.76077522542431,2.129,2.1264268235476194
1,1,33,60,12,91.40591091821632,31.405910918216332,4.053,2.0511438445382244
1,1,34,80,24,102.67302053091544,22.673020530915448,3.786,2.3039771930128423
1,1,35,100,10,114.20119925368796,14.201199253687946,3.086,2.562668918618073
1,1,36,40,12,88.92753259969291,48.9275325996929,2.391,1.9955291651218718
1,1,37,60,12,83.80141126393687,23.80141126393687,2.159,1.8804992713374358
1,1,38,80,24,90.26822103240517,10.268221032405153,2.586,2.0256141432001695
1,1,40,100,20,105.74513764008356,5.745137640083556,1.986,2.3729153397352003
1,1,41,80,16,98.5905574657855,18.59055746578548,2.203,2.2123669360559575
1,1,42,80,24,90.37482169569932,10.374821695699325,2.88,2.0280062564906887
1,1,43,40,8,59.23801410498608,19.23801410498608,3.326,1.3292979280390915
1,1,44,100,10,97.13044864144572,2.869551358554262,4.403,2.179602170656047
1,1,45,80,8,93.36768005438996,13.36768005438995,3.174,2.095165841011384
1,1,46,60,18,86.7642377159315,26.7642377159315,5.969,1.9469849414477776
1,1,47,40,12,65.67559657298636,25.675596572986365,2.303,1.473756940813007
1,1,48,60,12,78.7966141464642,18.796614146464197,3.786,1.7681918866448678
1,1,49,100,20,105.0000000000023,5.000000000002302,1.687,2.3561944901923964
1,1,50,40,8,75.81446241098618,35.81446241098618,2.352,1.7012725581872408
1,1,51,60,18,71.50640030039865,11.506400300398653,4.387,1.604599870488453
1,1,52,100,30,94.37465822796536,5.625341772034616,4.553,2.1177623783858817
1,1,53,80,8,79.45070858738171,0.5492914126182881,3.887,1.7828697315758706
1,1,54,40,8,61.52571935735084,21.52571935735084,4.489,1.3806339138562909
1,1,55,60,12,63.88468673832888,3.884686738328881,3.086,1.433569018100138
1,1,56,60,6,83.68299688170049,23.682996881700504,3.003,1.8778420588137703
1,1,57,80,24,101.53258112814822,21.532581128148223,1.674,2.278385792658572
1,1,58,40,4,63.6765870578837,23.676587057883708,2.393,1.4288992721908451
1,1,59,60,6,72.79499592389956,12.794995923899576,2.103,1.6335158886615844
1,1,60,40,8,66.03535575935453,26.035355759354527,1.463,1.4818299180769758
1,2,1,60,18,108.67961892960813,48.679618929608125,4.457,2.4387649458871077
1,2,2,80,16,92.16856139316984,12.168561393169853,1.678,2.068257681176587
1,2,3,80,8,94.75468067074874,14.75468067074874,1.295,2.1262900620605074
1,2,4,40,8,76.26642654855152,36.26642654855152,1.76,1.7114146097176786
1,2,5,80,24,84.925478368447,4.925478368447017,1.304,1.9057232781779427
1,2,6,60,12,62.84704541762704,2.847045417627044,1.754,1.4102844013131512
1,2,7,60,6,71.24911343611294,11.249113436112935,1.869,1.5988263667548446
1,2,8,40,12,60.95161800082931,20.951618000829317,2.011,1.3677511095415482
1,2,9,60,18,77.12626992445436,17.126269924454363,1.029,1.730709449953209
1,2,10,100,10,89.2090673737263,10.790932626273689,1.296,2.0018467906778246
1,2,11,40,12,64.4583206175258,24.4583206175258,1.953,1.4464413322482468
1,2,12,80,24,81.12654032515427,1.1265403251542807,1.968,1.820475307833291
1,2,13,100,30,94.3426554325765,5.657344567423479,1.14,2.1170442373366822
1,2,14,100,10,90.85296445583,9.147035544169997,1.503,2.0387357549377865
1,2,15,100,20,94.3355050248888,5.664494975111182,1.01,2.1168837825633835
1,2,16,60,12,69.00986553996057,9.009865539960574,2.932,1.5485777614682825
1,2,17,100,20,90.1825487645312,9.817451235468807,3.152,2.023691662004675
1,2,18,80,24,94.40557938839096,14.40557938839096,1.529,2.1184562476032647
1,2,19,40,4,65.9979769804969,25.9979769804969,1.509,1.4809911402408382
1,2,20,80,16,81.68094715756547,1.6809471575654695,2.281,1.8329161680604555
1,2,21,80,8,75.97481470153312,4.02518529846688,3.087,1.7048708551727303
1,2,22,80,24,81.79075814156086,1.7907581415608715,2.92,1.8353803207790509
1,2,23,100,30,91.14607200555768,8.853927994442332,1.371,2.045313072973045
1,2,24,60,12,83.02798350391265,23.027983503912647,2.873,1.8631435929876181
1,2,25,40,4,78.8357391443708,38.835739144370805,2.67,1.7690698495448327
1,2,26,60,6,72.92484166003759,12.924841660037586,3.048,1.63642962016695
1,2,27,40,4,74.90871933621854,34.90871933621855,1.859,1.6809477311177419
1,2,28,60,6,80.91707825283558,20.91707825283559,2.674,1.8157749899218476
1,2,29,40,12,66.76081015966466,26.760810159664658,1.858,1.4981090767521807
1,2,30,60,18,72.81925259161747,12.81925259161747,2.516,1.634060207012321
1,2,31,40,12,53.04334817728765,13.043348177287656,2.153,1.1902899496826602
1,2,32,100,10,94.98610989808216,5.013890101917852,1.619,2.1314833217777687
1,2,33,60,18,89.23995339216009,29.239953392160103,1.72,2.0025398713107547
1,2,34,40,8,56.19858873607234,16.198588736072338,1.761,1.2610933822525638
1,2,35,80,24,78.91236293568628,1.0876370643137248,1.69,1.7707892834011678
1,2,36,60,6,61.03710534141838,1.037105341418382,3.275,1.3696694409784738
1,2,37,40,8,42.94557522424645,2.945575224246454,1.428,0.9636964544905748
1,2,38,100,20,95.28908084044738,4.710919159552617,2.469,2.1382819738262384
1,2,39,100,30,85.1200270885851,14.87997291141491,2.733,1.9100889412490227
1,2,40,100,20,93.57818008224189,6.421819917758113,1.939,2.0998894505905272
1,2,41,80,16,79.8366536611242,0.1633463388757832,1.653,1.791530318778432
1,2,42,40,4,41.06681279881451,1.06681279881451,1.603,0.9215371242507354
1,2,43,80,8,61.966795654324336,18.033204345675657,1.75,1.3905316428151804
