subjects,isSpeed,jitter,abs_error,R,rt
1,0,45,0.5391,-0.5391,1.2595
1,0,30,0.32968,0.32968,0.86939
1,0,15,0.30658,-0.30658,0.8009
1,0,30,0.15855,0.15855,1.0019
1,0,15,0.0072374,0.0072374,2.364
1,0,45,1.25696,-1.25696,1.0521
1,0,30,0.39976,0.39976,1.053
1,0,30,1.76938,1.76938,2.3029
1,0,30,0.125614,-0.125614,0.88762
1,0,45,0.65302,-0.65302,0.94328
1,0,45,1.45422,1.45422,1.2994
1,0,15,0.129994,0.129994,0.83046
1,0,15,0.186396,-0.186396,0.76012
1,0,15,0.54632,-0.54632,0.92477
1,0,15,0.099492,0.099492,1.0294
1,0,15,0.188362,0.188362,0.96602
1,0,30,0.43098,-0.43098,1.091
1,0,15,0.023276,-0.023276,0.72233
1,0,45,0.095056,0.095056,0.89741
1,0,30,0.26222,0.26222,0.80081
1,0,15,0.2373,0.2373,0.69319
1,0,45,1.29402,-1.29402,0.88181
1,0,45,1.16622,1.16622,0.92763
1,0,15,0.23256,-0.23256,0.84309
1,0,30,0.23136,0.23136,1.1492
1,0,30,0.3597,-0.3597,1.1168
1,0,45,0.52364,0.52364,1.4275
1,0,30,0.39408,-0.39408,1.0922
1,0,45,1.4477,-1.4477,1.1208
1,0,45,0.86144,-0.86144,1.7964
1,1,45,0.7393,-0.7393,0.80825
1,1,45,0.24338,-0.24338,0.54978
1,1,15,0.0180968,0.0180968,0.534
1,1,45,1.05874,-1.05874,0.67777
1,1,15,0.02876,0.02876,0.52983
1,1,15,0.093822,-0.093822,0.52596
1,1,45,1.0146,-1.0146,0.61252
1,1,45,1.07914,-1.07914,0.6136
1,1,30,0.22562,0.22562,0.60186
1,1,15,0.31394,-0.31394,0.5176
1,1,30,0.031918,-0.031918,0.65095
1,1,30,0.112286,-0.112286,0.67273
1,1,30,1.41288,1.41288,0.60214
1,1,45,0.51774,-0.51774,0.67163
1,1,15,0.062746,0.062746,0.51689
1,1,45,0.7276,-0.7276,0.84933
1,1,30,0.12126,0.12126,1.1763
1,1,30,0.45262,0.45262,0.55891
1,1,30,0.027576,-0.027576,0.70509
1,1,15,0.198636,0.198636,0.69624
1,1,15,0.25108,0.25108,0.57531
1,1,15,0.071132,0.071132,0.66634
1,1,45,0.73828,0.73828,0.63089
1,1,30,0.52808,-0.52808,0.61821
1,1,15,0.037028,0.037028,0.64379
1,1,30,0.71552,0.71552,0.76403
1,1,30,0.14615,0.14615,0.64741
1,1,45,0.3154,-0.3154,0.68394
1,1,15,0.133496,0.133496,0.68297
1,1,45,1.70914,1.70914,0.60664
1,0,45,0.35332,0.35332,0.73904
1,0,45,0.87036,-0.87036,0.79204
1,0,15,0.044096,0.044096,0.76228
1,0,30,1.46152,-1.46152,1.7495
1,0,30,0.090854,0.090854,0.92531
1,0,30,0.25934,0.25934,0.68294
1,0,45,0.44298,-0.44298,0.69859
1,0,45,0.105076,-0.105076,2.2989
1,0,30,0.099816,-0.099816,1.0594
1,0,30,0.08407,-0.08407,1.0111
1,0,45,2.1574,-2.1574,0.68237
1,0,15,0.1076,-0.1076,0.84342
1,0,15,0.021,-0.021,1.2653
1,0,30,0.55,-0.55,1.0834
1,0,15,0.083984,0.083984,0.9002
1,0,30,0.167206,0.167206,0.97414
1,0,45,0.157954,-0.157954,1.166
1,0,30,0.195058,-0.195058,0.82511
1,0,30,0.194286,0.194286,0.81511
